EMPLOYEE_ID|SKILL_ID|SKILL_LEVEL
1|3|Junior
1|4|Senior
1|5|Pleno
2|1|Junior
2|2|Senior
2|3|Pleno
2|6|Junior
3|4|Senior
3|5|Pleno
3|6|Junior
4|1|Senior
4|2|Pleno
5|1|Junior
5|3|Senior
5|4|Pleno
5|5|Junior
5|6|Senior
6|1|Pleno
7|4|Junior
8|1|Senior
8|6|Pleno
9|3|Junior
9|4|Senior
9|5|Pleno
10|1|Junior
10|3|Senior
10|5|Pleno
10|6|Junior
11|4|Senior
11|5|Pleno
11|3|Junior
12|4|Senior
12|5|Pleno
13|1|Junior
13|2|Senior
13|3|Pleno
13|4|Junior
13|5|Senior
13|6|Pleno
14|3|Junior
14|4|Senior
14|5|Pleno
14|2|Junior
15|4|Senior
15|5|Pleno



